Date,Time,Latitude,Longitude,Altitude,Battery Voltage (V),Sats used,Wind Speed (m/s),Wind Dir (deg),Vertical Speed (m/s),Temperature(deg),Pressure (hPa),Humidity (%),Dew point (deg),variance_accX, variance_accY, variance_accZ, variance_gyrX, variance_gyrY, variance_gyrZ  
2021-01-27,10:37:55,51.022672,7.561804,312.2,2.8,11,0.1,29,-0.1,0.3,979.3,91.3,-0.9,0.0023458267209080386,0.005245428011385801,0.006495300072721857,0.0004256904125213623,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:56,51.022672,7.561803,312.1,2.8,11,0.0,276,-0.1,0.3,979.4,91.5,-1.0,0.005746086438503777,0.00558418454437604,0.00823828378479891,0.0004256904125213623,0.0005213618073463443,0.0
2021-01-27,10:37:57,51.022672,7.561803,312.1,2.8,11,0.1,311,-0.1,0.2,979.2,91.6,-1.0,0.003830718994140625,0.005245428011385801,0.0074181669765439615,0.0,0.0,0.0004256904125213623
2021-01-27,10:37:58,51.022673,7.561804,311.9,2.8,10,0.2,228,0.0,0.2,979.3,91.7,-1.0,0.0023458267209080386,0.003583309505270378,0.004883237077105045,0.0005213621495361084,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:59,51.022674,7.561805,312.0,2.8,11,0.1,328,-0.1,0.2,979.3,92.2,-0.9,0.005584193744282208,0.003583309505270378,0.0023458267209080386,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:38:00,51.022673,7.561805,312.0,2.8,11,0.1,304,0.1,0.2,979.2,91.7,-1.0,0.006352538674741669,0.004282874036799028,0.00985992343161402,0.0,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:38:01,51.022672,7.561805,311.8,2.8,11,0.1,19,-0.2,0.3,979.3,91.4,-1.0,0.0035833095052703783,0.005746078491210937,0.004282874036799028,0.0,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:38:02,51.022671,7.561805,311.7,2.8,11,0.2,346,0.0,0.3,979.3,91.7,-0.9,0.004282874036799028,0.006495300072721857,0.0,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:03,51.022670,7.561805,311.8,2.8,11,0.1,304,0.0,0.3,979.3,91.2,-0.9,0.007166619010540757,0.00558418454437604,0.005245428011385801,0.0010427233865668447,0.0009518719708924899,0.001085300764213677
2021-01-27,10:38:04,51.022670,7.561805,312.1,2.8,11,0.2,24,0.0,0.3,979.3,90.7,-1.0,0.01765875334874331,0.052331743667228585,0.06402868229890463,0.01804042215247852,0.028221034925320142,0.017257518799421737
2021-01-27,10:38:06,51.022669,7.561804,312.0,2.8,11,0.1,342,-0.1,0.6,979.3,89.9,-0.9,1.4708385066950656,1.1796495465629722,1.60504644899805,0.48780007477069554,0.20514705410697337,0.39726680007178966
2021-01-27,10:38:09,51.022667,7.561800,311.5,2.8,11,0.2,45,-0.2,0.7,979.2,89.9,-0.8,0.015142260390620704,0.026331839635131766,0.0697465115977734,0.011469957335183101,0.0014435852501343102,0.00657412097854956
2021-01-27,10:38:11,51.022667,7.561797,311.1,2.8,11,0.1,63,-0.1,0.4,979.2,90.4,-0.9,0.00985992567496883,0.008777279878377255,0.03358715910150692,0.009823207264154412,0.0006730751254394852,0.004382747333104297
2021-01-27,10:38:12,51.022668,7.561795,311.0,2.9,11,0.0,178,-0.2,0.5,979.2,91.5,-0.8,0.007661445625126396,0.006771818443942366,0.007418166976543961,0.0017027603462339976,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:38:13,51.022671,7.561794,311.3,2.9,11,0.0,269,-0.1,0.5,979.3,92.3,-0.6,0.006495306444185325,0.0019153594970703126,0.010664281322739286,0.0004256904125213623,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:38:14,51.022672,7.561793,311.3,2.8,11,0.0,252,0.0,0.4,979.2,91.1,-0.9,0.007037487361382881,0.004883227725553393,0.007418161205348598,0.0,0.0005213618073463443,0.0
2021-01-27,10:38:15,51.022671,7.561790,311.3,2.8,11,0.1,43,0.0,0.5,979.2,90.4,-0.9,0.0035833122930223706,0.005746078491210937,0.0052454334525211125,0.0004256904125213623,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:16,51.022671,7.561789,311.4,2.8,11,0.2,222,0.0,0.4,979.3,90.8,-0.9,0.004282877368799965,0.005746078491210937,0.0035833095052703783,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:17,51.022672,7.561789,311.4,2.8,11,0.1,291,0.0,0.3,979.3,91.1,-0.9,0.004691658004346413,0.003830718994140625,0.0023458267209080386,0.0,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:38:18,51.022672,7.561789,311.5,2.8,11,0.0,196,0.0,0.3,979.3,91.5,-1.0,0.0067718242391341795,0.004282874036799028,0.005584189144327838,0.0004256904125213623,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:19,51.022674,7.561789,311.7,2.8,11,0.1,276,0.1,0.3,979.2,92.1,-0.8,0.006495307323007886,0.004691653441816077,0.010664281858005067,0.0005213621495361084,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:20,51.022674,7.561789,311.7,2.8,11,0.1,196,0.1,0.2,979.3,92.2,-0.9,0.003583312691273098,0.00558418454437604,0.0070374907072392615,0.0005213621495361084,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:38:22,51.022673,7.561787,311.7,2.8,11,0.1,5,0.0,0.2,979.3,93.1,-0.8,0.00558419042209067,0.016195834131521196,0.03298094220687839,0.004149113274438918,0.0004256901331245899,0.0017807889781477502
2021-01-27,10:38:23,51.022675,7.561785,311.8,2.8,11,0.2,155,0.0,0.2,979.3,93.1,-0.8,0.003830721601844106,0.009576797485351562,0.008881165305678652,0.001346150103624246,0.0004256901331245899,0.0008513801731169988
2021-01-27,10:38:24,51.022676,7.561783,311.9,2.8,11,0.1,90,0.1,0.1,979.4,92.9,-0.9,0.006495305785068605,0.003583309505270378,0.007166623789545057,0.0004256904125213623,0.0005213618073463443,0.0
2021-01-27,10:38:25,51.022677,7.561782,312.0,2.8,11,0.1,53,0.0,0.1,979.3,93.4,-0.8,0.0030284516304694034,0.004883227725553393,0.008881165305678652,0.0005213621495361084,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:38:26,51.022681,7.561782,312.3,2.8,11,0.2,226,0.0,0.1,979.3,93.1,-0.9,0.00574608395497015,0.006056898548776792,0.007166627174672519,0.0004256904125213623,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:27,51.022680,7.561783,312.1,2.8,11,0.1,304,0.1,0.1,979.3,93.2,-0.8,0.0046916575480935785,0.005245428011385801,0.012486627668797906,0.0012410887532141224,0.0005213618073463443,0.0010427233865661792
2021-01-27,10:38:28,51.022681,7.561783,312.2,2.8,11,0.1,159,0.1,0.2,979.4,93.2,-0.8,0.0038307219743728637,0.014649683176660178,0.01495944967580257,0.003471396696936847,0.0004256901331245899,0.0007963932408693983
2021-01-27,10:38:29,51.022681,7.561783,312.0,2.8,11,0.0,83,0.0,0.2,979.2,92.7,-0.9,0.0046916589168528935,0.004691653441816077,0.0030284516304694034,0.0004256904125213623,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:38:30,51.022683,7.561783,312.0,2.8,11,0.2,229,-0.1,0.2,979.3,93.0,-0.8,0.0019153594970703126,0.004883227725553393,0.00574608395497015,0.0005213603245240334,0.0004256901331245899,0.0
2021-01-27,10:38:31,51.022685,7.561784,312.0,2.8,11,0.1,163,0.0,0.2,979.3,92.4,-0.9,0.0019153624773025513,0.00558418454437604,0.006495304466834791,0.0005213621495361084,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:38:32,51.022685,7.561784,311.9,2.8,11,0.1,3,0.0,0.2,979.4,92.7,-0.9,0.003583312691273098,0.003583309505270378,0.009285058875283577,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:38:33,51.022687,7.561784,312.1,2.8,11,0.1,45,0.2,0.1,979.2,92.3,-1.0,0.005245433452520688,0.004282874036799028,0.004691658004346413,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:38:34,51.022688,7.561784,312.3,2.8,11,0.1,176,0.0,0.1,979.4,92.3,-1.0,0.003583312691273098,0.0023458267209080386,0.004883230940147656,0.0006730744627924726,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:38:35,51.022689,7.561785,312.2,2.8,11,0.1,187,0.0,0.1,979.3,93.1,-0.9,0.005245433452520688,0.003583309505270378,0.005245433452520688,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:36,51.022688,7.561784,312.2,2.8,11,0.1,17,0.0,0.1,979.4,92.9,-0.9,0.0023458303709321883,0.003583309505270378,0.0067718237122986755,0.0004256904125213623,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:38:37,51.022686,7.561784,312.2,2.8,11,0.1,10,0.0,0.2,979.3,93.1,-0.8,0.003583312691273098,0.005245428011385801,0.0035833118947725287,0.0005213621495361084,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:38,51.022686,7.561784,312.2,2.8,11,0.1,330,-0.1,0.2,979.3,93.2,-0.7,0.007661444507539397,0.005746078491210937,0.0048832332780343445,0.0,0.0,0.0
2021-01-27,10:38:39,51.022688,7.561784,312.5,2.9,11,0.1,29,0.0,0.2,979.3,93.3,-0.8,0.004282880700800903,0.003583309505270378,0.008881165144995205,0.0005213621495361084,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:38:40,51.022686,7.561785,312.3,2.8,11,0.2,250,-0.1,0.1,979.3,93.2,-0.8,0.0048832332780343445,0.003583309505270378,0.004883232109090913,0.0004256904125213623,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:38:41,51.022685,7.561786,312.0,2.8,11,0.1,15,-0.3,0.1,979.2,93.6,-0.8,0.00558419042209067,0.003028449274388396,0.006495307542713614,0.0004256904125213623,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:42,51.022686,7.561786,312.1,2.8,11,0.2,29,-0.2,0.1,979.4,93.5,-0.8,0.003583315080774363,0.004691653441816077,0.004282877368800225,0.0005213621495361084,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:43,51.022685,7.561785,312.1,2.8,11,0.2,356,0.0,0.2,979.3,93.7,-0.7,0.0023458267209080386,0.003830718994140625,0.005746083706617597,0.0004256904125213623,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:38:44,51.022686,7.561785,312.3,2.8,11,0.1,148,0.0,0.2,979.3,92.7,-0.8,0.003583315080774363,0.003583309505270378,0.007037485840539694,0.0004256904125213623,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:38:45,51.022688,7.561785,312.5,2.8,11,0.1,132,0.0,0.2,979.4,92.4,-0.9,0.0038307223469021654,0.005746078491210937,0.011571700761819678,0.0005213621495361084,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:38:46,51.022688,7.561786,312.6,2.8,11,0.2,233,0.1,0.2,979.2,92.1,-1.0,0.005584190166538127,0.006771818443942366,0.009285057953120976,0.0004256904125213623,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:38:47,51.022689,7.561786,312.7,2.8,11,0.1,165,0.1,0.4,979.4,93.1,-0.6,0.010044239885160351,0.02067346447384985,0.018018653811879115,0.008801598171582875,0.0008513801847584557,0.0019738437953065015
2021-01-27,10:38:48,51.022688,7.561786,312.8,2.8,11,0.0,326,0.2,0.2,979.3,92.5,-0.9,0.006495307542713614,0.0023458267209080386,0.004282879034800499,0.0004256904125213623,0.0004256901331245899,0.0005213621495361084
